word,freq
SPEECH,1
CHIEF,13
EXECUTIVE,13
DELIVERING,1
POLICY,32
ADDRESS,22
LEGISLATIVE,6
COUNCIL,5
MR,3
PRESIDENT,2
HONOURABLE,2
MEMBERS,11
FELLOW,2
CITIZENS,4
TODAY,4
PRESENT,5
SECOND,2
TERM,17
OFFICE,7
LEGCO,6
YEAR,23
PREFER,1
SHARING,4
HONG,51
KONG,51
PEOPLE,21
GOVERNANCE,4
PHILOSOPHY,2
HIGHLIGHTING,1
SPECIFIC,2
MEASURES,11
READING,1
TITLED,1
STRIVING,2
AHEAD,4
REKINDLING,2
HOPE,8
RUNS,1
ROUGHLY,1
WORDS,2
COMPREHENSIVELY,1
COVERS,2
AREAS,6
GOOD,6
HOUSING,35
LAND,22
DIVERSIFIED,1
ECONOMY,10
NURTURING,2
TALENT,2
IMPROVING,4
LIVELIHOOD,8
LIVEABLE,1
CITY,3
CONNECTING,2
YOUNG,2
READ,1
BETTER,5
GRASP,1
CURRENT,14
SITUATION,1
GOVERNMENT,60
RESPONSES,1
VARIOUS,10
SOCIAL,3
ISSUES,6
BUILDING,5
SPECIAL,2
ADMINISTRATIVE,3
REGION,2
HKSAR,9
UNIQUE,1
STRENGTHS,3
COUNTRY,9
SYSTEMS,1
COMBINING,1
UNFLAGGING,1
EFFORTS,8
ASSUMING,2
JULY,1
CARRIES,1
UNSWERVING,1
DETERMINATION,4
LEADING,2
STRIVE,2
FORWARD,6
SERVE,2
JUST,4
PURPOSE,3
REFLECTS,1
EXPERIENCE,3
ASSUMED,2
PAST,3
POLITICAL,5
TEAM,3
TAKEN,1
PRAGMATIC,1
APPROACH,3
CARE,11
LISTEN,2
ACT,4
INNOVATIVE,1
INTERACTIVE,1
COLLABORATIVE,2
IMPLEMENTING,2
INITIATIVES,12
PROACTIVELY,3
ENHANCING,5
POSITION,1
FINANCIAL,5
CENTRE,2
INCLUDES,1
REVISION,3
LISTING,1
REGULATIONS,1
APPLICATION,3
TECHNOLOGIES,3
FINTECH,1
FORGING,2
DEVELOPMENT,27
INNOVATION,1
TECHNOLOGY,2
ESTABLISHMENT,1
CLUSTERS,1
HEALTHCARE,4
ARTIFICIAL,2
INTELLIGENCE,1
ROBOTICS,1
OUTCOMES,1
REMARKABLE,3
TESTIMONIES,1
BELIEF,2
RUNNING,1
OUTSTANDING,3
FOUNDATIONS,1
SOLID,1
LONG,6
STAND,3
UNITED,2
REMAIN,3
FOCUSED,1
DOUBT,1
SCALE,1
NEW,23
HEIGHTS,2
REALISATION,3
PERFECT,1
SOLUTION,1
WORLD,6
DIFFICULT,2
FORGE,2
ABSOLUTE,1
CONSENSUS,2
COMMUNITY,11
DIVERGENCE,1
VIEWS,5
OBSTACLE,1
MAKE,4
PROGRESS,2
IMPORTANTLY,1
BRING,3
STANDSTILL,1
SPENT,1
LOT,1
ROUNDS,1
PUBLIC,24
CONSULTATIONS,1
SUPPLY,11
OPTIONS,3
ABOLITION,3
OFFSETTING,4
ARRANGEMENT,5
MANDATORY,1
PROVIDENT,1
FUND,1
MPF,2
SCHEME,14
HIGH,2
TIME,4
DECIDE,1
PROCEED,1
DISCUSSIONS,2
PROCRASTINATION,1
GREATER,8
SUFFERINGS,1
FAMILIES,3
LIVING,2
POOR,1
OVERCROWDED,1
ENVIRONMENT,9
PARTICULAR,2
CHILDREN,4
GRASS,1
ROOTS,1
WORKERS,1
NEED,4
RETIREMENT,1
PROTECTION,2
COMPANIONS,2
INCLUSIVE,2
HARBOUR,4
UNREALISTIC,1
WISH,1
PARTIES,3
SHARE,2
STANCE,1
PRINCIPLE,3
COMPROMISED,1
PLENTY,1
ROOM,1
COLLABORATION,1
CASE,1
POINT,1
VISIT,1
CROSS,2
PARTY,1
DELEGATION,1
MAINLAND,2
CITIES,3
GUANGDONG,1
MACAO,2
BAY,6
AREA,9
ARRANGED,1
EARLY,1
EXAMPLE,3
DEALING,1
SIMPLE,1
ONES,1
ADOPTED,2
PRESENTING,1
FUNDING,2
ITEMS,1
CONSULTATION,1
LEGISLATORS,1
DIFFERENT,4
END,6
SESSION,3
HELPED,1
REDUCE,2
CONFRONTATION,1
CONTRIBUTED,1
SMOOTH,1
PASSAGE,3
BENEFIT,2
SWIFTLY,2
BOLDLY,1
MATTERS,1
CLEARLY,2
PROPOSE,6
TOTAL,6
BAN,1
ELECTRONIC,2
CIGARETTES,1
PROTECTING,1
HEALTH,2
PARTICULARLY,2
TEENAGERS,1
ACTIVELY,2
