Basin,Date,Latitude,Longitude,Number of Records,Pressure (mb),Storm Name,Wind speed (kt)
West Pacific,3/26/2012 12:00:00 AM,9.5,115.7,1,1010,PAKHAR,0
West Pacific,3/26/2012 6:00:00 AM,9.5,115.4,1,1008,PAKHAR,0
West Pacific,3/26/2012 12:00:00 PM,9.5,115.1,1,1008,PAKHAR,0
West Pacific,3/26/2012 6:00:00 PM,9.4,114.8,1,1010,PAKHAR,0
West Pacific,3/27/2012 12:00:00 AM,9.4,114.5,1,1010,PAKHAR,0
West Pacific,3/27/2012 6:00:00 AM,9.4,114.3,1,1008,PAKHAR,0
West Pacific,3/27/2012 12:00:00 PM,9.4,114,1,1008,PAKHAR,0
West Pacific,3/27/2012 6:00:00 PM,9.4,113.7,1,1008,PAKHAR,0
West Pacific,3/28/2012 12:00:00 AM,9.4,113.4,1,1010,PAKHAR,0
West Pacific,3/28/2012 6:00:00 AM,9.3,113.1,1,1008,PAKHAR,0
West Pacific,3/28/2012 12:00:00 PM,9.3,112.8,1,1008,PAKHAR,0
West Pacific,3/28/2012 6:00:00 PM,9.4,112.5,1,1008,PAKHAR,0
West Pacific,3/29/2012 12:00:00 AM,9.6,112.3,1,1008,PAKHAR,0
West Pacific,3/29/2012 6:00:00 AM,9.7,112,1,1006,PAKHAR,0
West Pacific,3/29/2012 12:00:00 PM,9.7,111.8,1,1004,PAKHAR,35
West Pacific,3/29/2012 6:00:00 PM,9.7,111.6,1,1002,PAKHAR,35
West Pacific,3/30/2012 12:00:00 AM,9.7,111.3,1,1000,PAKHAR,40
West Pacific,3/30/2012 6:00:00 AM,9.7,111,1,998,PAKHAR,40
West Pacific,3/30/2012 12:00:00 PM,9.7,110.7,1,998,PAKHAR,40
West Pacific,3/30/2012 6:00:00 PM,9.7,110.4,1,998,PAKHAR,40
West Pacific,3/31/2012 12:00:00 AM,9.7,110,1,998,PAKHAR,40
West Pacific,3/31/2012 6:00:00 AM,9.8,109.5,1,998,PAKHAR,40
West Pacific,3/31/2012 12:00:00 PM,9.9,109.1,1,998,PAKHAR,40
West Pacific,3/31/2012 6:00:00 PM,9.9,108.7,1,998,PAKHAR,40
West Pacific,4/1/2012 12:00:00 AM,10,108.3,1,998,PAKHAR,40
West Pacific,4/1/2012 6:00:00 AM,10,107.8,1,1000,PAKHAR,40
West Pacific,4/1/2012 12:00:00 PM,10.5,107.4,1,1002,PAKHAR,35
West Pacific,4/1/2012 6:00:00 PM,11,107,1,1004,PAKHAR,35
West Pacific,4/2/2012 12:00:00 AM,11.5,106.5,1,1006,PAKHAR,0
West Pacific,4/2/2012 6:00:00 AM,12,106.1,1,1008,PAKHAR,0
